phase,bowler,strike_rate_abd,strike_rate_baseline,Boundary%_abd,Boundary%_baseline
Death Overs,DJ Bravo,220.0,149.02,30.0,18.25
Middle Overs,DJ Bravo,143.48,119.85,17.39,13.46
Powerplay,DJ Bravo,141.67,123.04,25.0,19.35
Death Overs,DW Steyn,313.33,128.46,53.33,16.08
Middle Overs,DW Steyn,71.43,105.74,0.0,13.72
Powerplay,DW Steyn,300.0,98.69,0.0,15.4
Death Overs,JJ Bumrah,222.22,131.59,36.11,14.91
Middle Overs,JJ Bumrah,116.13,106.79,9.68,11.76
Powerplay,JJ Bumrah,68.18,106.78,9.09,15.86
Death Overs,R Ashwin,150.0,124.51,21.43,11.57
Middle Overs,R Ashwin,109.76,112.13,9.76,10.25
Powerplay,R Ashwin,50.0,106.96,0.0,13.54
Death Overs,RA Jadeja,169.23,138.11,23.08,15.57
Middle Overs,RA Jadeja,114.47,121.09,13.16,12.16
Powerplay,RA Jadeja,100.0,137.4,0.0,20.61
Death Overs,SL Malinga,233.33,121.89,29.17,13.35
Middle Overs,SL Malinga,219.23,111.09,34.62,12.13
Powerplay,SL Malinga,100.0,98.19,18.18,14.91
Death Overs,SP Narine,155.56,118.88,11.11,13.04
Middle Overs,SP Narine,129.63,102.55,18.52,8.92
Powerplay,SP Narine,133.33,106.45,33.33,14.46
